"","subject","item","list","phrase","word","raw_rt","sentence","removed_rt","subject2","rt","accessible_G","inaccessible_G","accessible","inaccessible"
"90841",25,3,"binding4","5","himself",500,"Miss Kim heard that the queen talked about himself happily at the party.",500,"25/5",500,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"100498",28,3,"binding4","5","himself",620,"Miss Kim heard that the queen talked about himself happily at the party.",620,"28/5",620,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"104458",30,3,"binding4","5","himself",562,"Miss Kim heard that the queen talked about himself happily at the party.",562,"30/5",562,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"119958",35,3,"binding4","5","himself",540,"Miss Kim heard that the queen talked about himself happily at the party.",540,"35/5",540,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"123114",36,3,"binding4","5","himself",574,"Miss Kim heard that the queen talked about himself happily at the party.",574,"36/5",574,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"144191",44,3,"binding4","5","himself",663,"Miss Kim heard that the queen talked about himself happily at the party.",663,"44/5",663,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"13455",1,4,"binding1","5","herself",2426,"Miss Rose said that the lady allowed herself to take a break during work.",2426,"1/5",NA,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"27254",4,4,"binding1","5","herself",473,"Miss Rose said that the lady allowed herself to take a break during work.",473,"4/5",473,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"33769",6,4,"binding1","5","herself",343,"Miss Rose said that the lady allowed herself to take a break during work.",343,"6/5",343,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"40781",9,4,"binding1","5","herself",580,"Miss Rose said that the lady allowed herself to take a break during work.",580,"9/5",580,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"48999",12,4,"binding1","5","herself",406,"Miss Rose said that the lady allowed herself to take a break during work.",406,"12/5",406,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"60321",16,4,"binding1","5","herself",1073,"Miss Rose said that the lady allowed herself to take a break during work.",1073,"16/5",1073,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"67599",19,4,"binding1","5","herself",651,"Miss Rose said that the lady allowed herself to take a break during work.",651,"19/5",651,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"81567",22,4,"binding1","5","herself",335,"Miss Rose said that the lady allowed herself to take a break during work.",335,"22/5",335,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"85339",24,4,"binding1","5","herself",468,"Miss Rose said that the lady allowed herself to take a break during work.",468,"24/5",468,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"90274",25,4,"binding1","5","herself",602,"Miss Rose said that the lady allowed herself to take a break during work.",602,"25/5",602,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
