"","subject","item","list","phrase","word","rt","sentence","accessible_G","inaccessible_G","accessible","inaccessible"
"99972",28,1,"binding2","4","cut",432,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"99973",28,1,"binding2","5","herself",964,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"99974",28,1,"binding2","6","with a knife",805,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"99975",28,1,"binding2","7","while cooking.",1392,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"104097",30,1,"binding2","1","Mr. Smith",1041,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"104098",30,1,"binding2","2","said that",618,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"104099",30,1,"binding2","3","the girl",610,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"104100",30,1,"binding2","4","cut",534,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"104101",30,1,"binding2","5","herself",837,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"104102",30,1,"binding2","6","with a knife",1185,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"104103",30,1,"binding2","7","while cooking.",1029,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"120088",35,1,"binding2","1","Mr. Smith",8161,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"120102",35,1,"binding2","2","said that",712,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"120103",35,1,"binding2","3","the girl",809,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"120104",35,1,"binding2","4","cut",821,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"120105",35,1,"binding2","5","herself",1063,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"120106",35,1,"binding2","6","with a knife",1089,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"120107",35,1,"binding2","7","while cooking.",1018,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"122585",36,1,"binding2","1","Mr. Smith",661,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"122586",36,1,"binding2","2","said that",1084,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"122587",36,1,"binding2","3","the girl",968,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"122588",36,1,"binding2","4","cut",702,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"122589",36,1,"binding2","5","herself",610,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"122590",36,1,"binding2","6","with a knife",682,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"122591",36,1,"binding2","7","while cooking.",641,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"143124",44,1,"binding2","1","Mr. Smith",10022,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"143138",44,1,"binding2","2","said that",1853,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"143139",44,1,"binding2","3","the girl",1098,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"143140",44,1,"binding2","4","cut",980,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"143141",44,1,"binding2","5","herself",1107,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
